id,type,resource
lecture-05,recording,https://canvas.ubc.ca/courses/195587
lecture-08,recording,https://canvas.ubc.ca/courses/195587
lecture-10,recording,https://canvas.ubc.ca/courses/195587
lecture-13,recording,https://canvas.ubc.ca/courses/195587
lecture-14,recording,https://canvas.ubc.ca/courses/195587
lecture-15,recording,https://canvas.ubc.ca/courses/195587
lecture-18,recording,https://canvas.ubc.ca/courses/195587
lecture-21,recording,https://canvas.ubc.ca/courses/195587
lecture-24,recording,https://canvas.ubc.ca/courses/195587
lecture-25,recording,https://canvas.ubc.ca/courses/195587
lecture-28,recording,https://canvas.ubc.ca/courses/195587
lecture-31,recording,https://canvas.ubc.ca/courses/195587
lecture-34,recording,https://canvas.ubc.ca/courses/195587
exam-01,prairielearn,https://us.prairielearn.com/pl/course_instance/209866
exam-02,prairielearn,https://us.prairielearn.com/pl/course_instance/209866
exam-03,prairielearn,https://us.prairielearn.com/pl/course_instance/209866
exam-04,prairielearn,https://us.prairielearn.com/pl/course_instance/209866
exam-05,prairielearn,https://us.prairielearn.com/pl/course_instance/209866
exam-final,prairielearn,https://us.prairielearn.com/pl/course_instance/209866
