order_id,drink,size,milk,is_iced,caffeine_mg,calories,price,add_shot,syrup
101,Latte,Medium,2% ,False,150,190,4.75,False,Vanilla
102,Americano,Large,None,True,225,15,3.50,False,None
103,Cold Brew,Large,None,True,260,5,4.25,False,None
104,Matcha Latte,Small,Oat,False,70,140,4.95,False,None
105,Mocha,Medium,Whole,False,165,320,5.25,False,Chocolate
106,Espresso,Single,None,False,63,2,2.75,False,None
107,Flat White,Small,Whole,False,130,180,4.65,True,None
108,Chai Latte,Large,Almond,True,60,230,5.15,False,Chai
109,Drip Coffee,Medium,None,False,180,5,2.50,False,None
110,Hot Chocolate,Medium,2% ,False,0,310,3.95,False,Chocolate
111,Iced Latte,Large,Oat,True,150,200,5.15,False,Vanilla
112,Americano,Small,None,False,150,10,2.95,True,None
113,Tea,Large,None,True,40,0,2.25,False,None
114,Cappuccino,Small,Skim,False,120,120,4.35,False,None
115,Cold Brew,Medium,None,True,200,5,3.95,True,None
116,Latte,Large,Almond,False,150,210,5.25,False,Caramel
117,Mocha,Small,Skim,False,95,260,4.95,False,Chocolate
118,Drip Coffee,Large,None,False,240,5,2.95,False,None
119,Iced Chai,Medium,Oat,True,60,190,4.85,False,Chai
120,Flat White,Medium,2% ,False,130,190,4.95,False,None
