week,slot,id
1,Mon,part-01
4,Mon,part-02
8,Mon,part-03
11,Mon,part-04
1,Week,week-01
2,Week,week-02
3,Week,week-03
4,Week,week-04
5,Week,week-05
6,Week,week-06
7,Week,week-07
8,Week,week-08
9,Week,week-09
10,Week,week-10
11,Week,week-11
12,Week,week-12
13,Week,week-13
14,Week,week-14
1,Wed,lecture-01
1,Fri,lecture-02
2,Mon,lecture-03
2,Wed,lecture-04
2,Fri,lecture-05
3,Mon,lecture-06
3,Wed,lecture-07
3,Fri,lecture-08
4,Mon,lecture-09
4,Fri,lecture-10
5,Mon,lecture-11
5,Wed,lecture-12
5,Fri,lecture-13
6,Wed,lecture-14
6,Fri,lecture-15
7,Mon,lecture-16
7,Wed,lecture-17
7,Fri,lecture-18
8,Mon,lecture-19
8,Wed,lecture-20
8,Fri,lecture-21
9,Mon,lecture-22
9,Wed,lecture-23
9,Fri,lecture-24
10,Fri,lecture-25
11,Mon,lecture-26
11,Wed,lecture-27
11,Fri,lecture-28
12,Mon,lecture-29
12,Wed,lecture-30
12,Fri,lecture-31
13,Mon,lecture-32
13,Wed,lecture-33
13,Fri,lecture-34
14,Mon,lecture-35
2,First,tutorial-01
3,First,tutorial-02
4,First,tutorial-03
5,First,tutorial-04
7,First,tutorial-05
8,First,tutorial-06
9,First,tutorial-07
11,First,tutorial-08
12,First,tutorial-09
13,First,tutorial-10
3,Sun,exam-01
5,Sun,exam-02
8,Sun,exam-03
11,Sun,exam-04
13,Sun,exam-05
14,Sun,exam-final
2,Sun,homework-01
4,Sun,homework-02
7,Sun,homework-03
9,Sun,homework-04
12,Sun,homework-05
